lfp;k5;k618;age;wc;hc;lwg;inc
1;2;2;32;1;1;0;13.665
1;0;0;49;1;1;1.087672;8.6
1;0;2;32;0;0;-1.029619;18.1
1;0;1;48;0;0;1.605808;10.66
1;0;1;31;0;0;1.467071;8.119999
1;2;4;34;0;0;2.107018;10.2
1;0;0;58;0;0;1.641863;12.15
1;0;0;52;0;0;1.301737;26.752
1;0;0;33;0;1;1.744992;11.9
1;0;1;51;0;0;1.321756;18
1;0;3;41;0;0;1.12393;21.217
1;0;0;34;0;0;1.070441;15.5
1;0;2;46;1;1;1.937942;17.4
1;0;0;36;0;0;1.279011;12.42
1;0;4;41;0;0;2.479322;6.950002
1;0;0;47;0;0;1.832582;11.81
1;0;0;48;0;0;.9996722;10.5
1;0;4;43;0;0;1.262813;15.05
1;0;3;40;1;1;1.481605;28.5
1;0;2;39;0;0;.76214;12.387
1;0;0;55;1;1;1.52585;19.385
1;0;0;34;1;1;2.084546;20.8
1;0;0;55;1;1;2.265445;14
1;0;0;31;1;1;1.397164;12.5
1;0;0;52;0;0;.6292341;8
1;0;0;52;0;0;.4700036;9.5
1;0;8;37;0;0;.1625193;16.258
1;0;0;58;0;0;.0943106;14.5
1;0;1;46;0;0;.8284885;27.314
1;0;2;30;0;0;.9698315;6.352
1;0;0;51;0;1;.8209804;16.65
1;0;0;45;0;0;1.519857;7.142
1;0;2;48;1;1;.7011407;21.155
1;0;2;34;0;0;1.244795;5
1;0;3;30;0;0;.6931472;14.13
1;0;2;48;0;0;1.512376;19.994
1;1;2;31;1;1;.9450333;22.5
1;0;0;57;0;0;1.365932;22
1;1;2;30;0;1;.9852834;15.51
1;0;0;30;1;1;2.683166;17.5
1;0;0;51;1;0;1.726036;14.594
1;0;1;46;0;0;1.511858;11.384
1;0;0;46;0;1;.8651225;10.32
1;0;1;42;0;0;.9016919;14.197
1;0;3;45;1;1;1.336795;16.734
1;0;1;51;0;0;1.272966;17.1
1;0;2;36;1;1;1.766624;13.6
1;0;0;59;1;1;.8997613;16.75
1;0;0;50;0;0;.4307832;5.118999
1;0;0;42;0;0;1.769352;15.7
1;1;0;31;1;1;1.98182;15.1
1;0;3;32;0;1;1.553268;17
1;0;0;59;0;1;1.386294;16
1;0;2;43;1;1;1.331806;27.35
1;1;1;31;0;0;.7675475;8.275
1;0;0;45;0;1;1.178655;9.56
1;0;0;48;1;1;1.178655;17.479
1;0;0;30;0;0;1.272966;8.089999
1;0;2;42;1;1;1.254245;22.655
1;0;4;35;0;0;2.021928;10.3
1;0;0;45;0;0;.6931472;14.1
1;0;5;39;0;0;1.643839;15.839
1;0;2;43;0;0;1.167605;14.1
1;0;3;35;0;0;.2980447;17.531
1;0;1;43;0;1;1.302819;24.631
1;0;2;43;0;0;.8183691;14.6
1;1;2;30;0;1;.733969;15
1;0;1;42;0;1;1.52428;19.7
1;0;1;33;0;0;1.401916;24.3
1;0;2;39;0;0;1.544899;12.925
1;0;2;48;0;0;.7543364;17.305
1;0;0;54;0;0;2.059639;10.9
1;0;2;37;1;0;2.120264;9.152
1;0;0;54;0;0;1.556486;9.859
1;1;2;31;1;0;1.52428;20.1
1;0;3;34;0;0;.0921151;6.8
1;1;3;35;0;0;1.514128;12.04
1;0;2;30;0;0;.3285041;19.5
1;1;0;32;0;0;1.210165;10.91
